[Sun, 05 May 2013 18:56:11 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:11 GMT-0700 (PDT)] "GET / 1.1" 200 2480 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:11 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:11 GMT-0700 (PDT)] "GET /js/config/init.js 1.1" 200 638 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:11 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:11 GMT-0700 (PDT)] "GET /css/style.css 1.1" 200 822 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:11 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:11 GMT-0700 (PDT)] "GET /js/bootstrap.min.js 1.1" 200 25743 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:12 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:11 GMT-0700 (PDT)] "GET /js/jquery.min.js 1.1" 200 93436 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:12 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:11 GMT-0700 (PDT)] "GET /css/bootstrap.responsive.min.css 1.1" 200 16520 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:12 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:11 GMT-0700 (PDT)] "GET /css/bootstrap.min.css 1.1" 200 101265 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:12 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:11 GMT-0700 (PDT)] "GET /js/core/core.js 1.1" 200 353154 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:12 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:12 GMT-0700 (PDT)] "GET /socket.io/1/?t=1367780172387 1.1" 404 40 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:12 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:12 GMT-0700 (PDT)] "GET /img/whitey.png 1.1" 200 87134 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:12 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:12 GMT-0700 (PDT)] "GET /images/favicon.ico 1.1" 404 30 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:59 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:59 GMT-0700 (PDT)] "GET / 1.1" 200 2271 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
[Sun, 05 May 2013 18:56:59 GMT] ACCESS 192.168.0.10 - - [Sun May 05 2013 11:56:59 GMT-0700 (PDT)] "GET /js/config/init.js 1.1" 200 638 "http://192.168.0.6:4000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.65 Safari/537.31"
